,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,streams,danceability,energy,key_y,loudness,mode_y,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature,collaboration,months_before_christmas
385,"You're On Your Own, Kid",Taylor Swift,1,2022,10,21,348647203,69.6,39.0,2,-10.331,1,6.16,44.7,0.00155,12.5,39.5,120.032,194.207,4,0,2
386,"Kesariya (From ""Brahmastra"")","Pritam, Arijit Singh, Amitabh Bhattacharya",3,2022,7,17,366599607,57.7,57.4,0,-6.525,1,2.78,57.2,0.0,10.0,43.6,94.009,268.165,4,1,5
387,Payphone,"Maroon 5, Wiz Khalifa",2,2012,1,1,1479264469,73.9,75.6,4,-4.828,1,3.94,1.36,0.0,37.0,52.3,110.028,231.387,4,1,11
388,All I Want for Christmas Is You,Mariah Carey,1,1994,10,28,1449779435,33.6,62.7,7,-7.463,1,3.84,16.400000000000002,0.0,7.08,35.0,150.273,241.107,4,0,2
389,Last Christmas,Wham!,1,1984,1,1,1159176109,73.5,47.8,2,-12.472,1,2.93,18.9,0.000248,35.5,94.7,107.682,262.96,4,0,11
390,Rockin' Around The Christmas Tree,Brenda Lee,1,1958,1,1,769213520,59.8,47.0,8,-8.744,1,4.96,61.7,0.0,50.5,87.9,67.086,126.267,4,0,11
391,Jingle Bell Rock,Bobby Helms,1,1957,1,1,741301563,75.4,42.4,2,-8.463,1,3.63,64.3,0.0,6.52,80.60000000000001,119.705,130.973,4,0,11
392,Santa Tell Me,Ariana Grande,1,2013,12,13,834129063,52.5,62.1,7,-7.364,1,11.7,4.89,0.0,29.1,59.2,191.868,204.093,4,0,0
393,It's the Most Wonderful Time of the Year,Andy Williams,1,1963,10,14,663832097,24.0,59.8,7,-8.435,1,3.69,76.6,0.0,11.7,77.60000000000001,201.629,151.933,3,0,2
394,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,1,1959,11,16,446390129,45.1,24.1,1,-14.014,1,3.52,91.2,0.000266,17.5,69.8,134.009,117.147,4,0,1
395,Snowman,Sia,1,2017,1,1,690104769,71.7,52.400000000000006,1,-6.222,1,3.31,42.6,0.0,9.32,33.900000000000006,104.953,165.9,3,0,11
396,Underneath the Tree,Kelly Clarkson,1,2013,10,25,485285717,50.9,81.2,8,-5.439,1,5.37,0.128,0.00199,21.4,68.89999999999999,159.878,229.64,4,0,2
397,Mistletoe,Justin Bieber,1,2011,1,1,629173063,65.8,56.00000000000001,6,-9.049,0,4.67,49.8,0.0,7.939999999999999,85.39999999999999,161.993,182.947,4,0,11
398,Sleigh Ride,The Ronettes,1,1963,11,22,404664135,52.900000000000006,77.2,2,-7.013,1,2.87,40.3,0.000221,31.6,85.3,91.751,181.267,4,0,1
399,Seek & Destroy,SZA,1,2022,12,9,98709329,65.10000000000001,64.7,1,-5.415,1,6.54,43.7,17.5,20.5,34.5,152.069,203.733,4,0,0
400,Love Language,SZA,1,2022,12,9,110849052,70.7,26.1,9,-10.139,0,7.84,85.3,0.0,12.7,54.50000000000001,65.038,183.893,4,0,0
401,Happy Xmas (War Is Over),"John Lennon, The Harlem Community Choir, The Plastic Ono Band, Yoko Ono",4,1971,12,1,460492795,39.4,67.80000000000001,2,-6.182,1,3.09,18.0,0.0247,67.60000000000001,60.4,146.833,212.04,3,1,0
402,Used (feat. Don Toliver),"SZA, Don Toliver",2,2022,12,8,94005786,73.8,70.0,10,-6.242,0,5.47,31.2,0.0219,33.900000000000006,82.5,150.015,146.951,4,1,0
403,The Christmas Song (Merry Christmas To You) - Remastered 1999,Nat King Cole,1,1946,11,1,389771964,38.7,14.099999999999998,1,-15.439,1,3.83,85.7,0.000113,9.95,17.8,129.474,191.64,4,0,1
404,Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,1,1979,11,16,403939487,77.3,51.1,11,-8.914,1,3.24,32.2,0.0,6.72,77.5,94.711,227.653,4,0,1
405,Do They Know It's Christmas? - 1984 Version,Band Aid,1,1984,11,25,481697415,59.8,64.3,0,-6.933,1,3.64,16.400000000000002,0.00335,9.92,34.9,115.41,222.533,4,0,1
406,Ghost in the Machine (feat. Phoebe Bridgers),"SZA, Phoebe Bridgers",2,2022,12,9,110073250,62.4,43.3,6,-9.572,1,4.67,83.7,2.94,11.3,58.9,124.979,218.587,4,1,0
407,Special,SZA,1,2022,12,9,88092256,60.4,19.9,0,-11.831,1,5.0,77.7,0.0,10.9,19.1,76.134,158.84,4,0,0
408,Merry Christmas Everyone,Shakin' Stevens,1,1984,1,1,351636786,53.400000000000006,90.4,9,-3.315,1,3.69,12.9,0.0,12.8,96.0,202.899,220.16,4,0,11
409,Let It Snow! Let It Snow! Let It Snow!,"Frank Sinatra, B. Swanson Quartet",2,1950,1,1,473248298,59.6,32.5,2,-11.549,1,5.91,88.8,0.0,27.6,85.1,143.306,155.587,4,1,11
410,SOS,SZA,1,2022,12,9,73981293,50.7,65.7,7,-7.356,0,23.3,66.9,0.000697,9.47,50.6,119.159,117.773,1,0,0
411,Open Arms (feat. Travis Scott),"SZA, Travis Scott",2,2022,12,8,155653938,43.4,58.6,9,-7.612,1,13.8,75.3,1.44,14.6,23.9,78.259,239.613,4,1,0
412,White Christmas,"Bing Crosby, John Scott Trotter & His Orchestra, Ken Darby Singers",3,1942,1,1,395591396,23.4,20.200000000000003,9,-16.222,1,3.32,90.6,0.00555,38.7,18.7,96.593,183.613,4,1,11
413,Driving Home for Christmas - 2019 Remaster,Chris Rea,1,1986,1,1,429504768,51.3,58.3,9,-10.863,1,3.8,35.5,0.00196,18.0,86.6,180.183,241.627,4,0,11
